,Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
0,2025-08-01 00:04:04,4.1,-79,9.8,10,1.846,8.801
1,2025-08-01 00:44:05,4.09,-87,9.8,10,1.4,7.822
2,2025-08-01 01:04:03,4.09,-80,11,10,1.422,7.634
3,2025-08-01 01:24:01,,-85,8.2,10,,
4,2025-08-01 02:24:04,4.09,-85,10,10,1.076,7.786
5,2025-08-01 02:44:02,,-86,8,10,,
6,2025-08-01 03:04:02,4.08,-78,4.8,10,1.195,8.138
7,2025-08-01 03:24:02,4.08,-79,10.5,10,1.168,8.318
8,2025-08-01 03:44:04,4.08,-82,10.8,10,1.198,8.42
9,2025-08-01 04:04:08,4.08,-88,10.2,10,1.373,8.731
10,2025-08-01 04:24:08,4.08,-86,8.5,10,1.224,8.982
11,2025-08-01 04:44:04,4.08,-83,7.5,10,1.236,8.95
12,2025-08-01 05:04:08,4.07,-86,11.5,10,1.283,8.958
13,2025-08-01 05:24:01,4.07,-88,8.8,10,1.226,9.195
14,2025-08-01 05:44:09,4.07,-86,7.8,10,1.419,9.732
15,2025-08-01 06:04:07,4.07,-87,7.8,10,1.745,10.484
16,2025-08-01 06:24:03,4.07,-79,10.8,10,2.72,11.691
17,2025-08-01 07:04:09,4.06,-86,9.5,10,6.296,11.999
18,2025-08-01 07:24:10,4.06,-80,10.5,10,7.527,11.604
19,2025-08-01 07:44:03,4.08,-79,9,10,9.483,10.692
20,2025-08-01 08:04:02,4.09,-88,10.2,10,11.19,10.366
21,2025-08-01 08:24:03,4.11,-80,11.2,10,11.901,9.914
22,2025-08-01 08:44:01,4.12,-81,10,10,12.663,9.835
23,2025-08-01 09:04:02,4.13,-82,10,10,13.114,9.493
24,2025-08-01 09:24:09,4.15,-83,8.5,10,13.518,9.304
25,2025-08-01 09:44:02,4.16,-86,10,10,13.321,9.288
26,2025-08-08 15:44:07,4.15,-77,12,10,13.57,8.437
27,2025-08-08 16:04:05,4.14,-86,7.5,10,13.31,8.585
28,2025-08-08 16:24:07,4.14,-73,9.2,10,13.742,8.492
29,2025-08-08 16:44:07,4.13,-83,7.2,10,13.536,8.451
30,2025-08-08 17:04:01,4.13,-76,11.5,10,13.361,8.023
31,2025-08-08 17:24:10,4.13,-77,8.8,10,12.42,8.094
32,2025-08-08 17:44:06,4.12,-80,9.8,10,12.516,7.247
33,2025-08-08 18:04:02,4.12,-80,7,10,10.855,8.31
34,2025-08-08 18:24:07,4.12,-73,11.5,10,10.055,8.447
35,2025-08-08 18:44:05,4.12,-77,12.2,10,11.908,6.789
36,2025-08-08 19:04:01,4.11,-81,10.8,10,8.472,9.633
37,2025-08-08 19:24:10,4.11,-79,9,10,8.75,9.835
38,2025-08-08 19:44:09,4.11,-75,8.5,10,5.775,9.605
39,2025-08-08 20:04:06,4.1,-77,12.8,10,3.328,7.666
40,2025-08-08 20:24:05,4.1,-80,8.2,10,2.172,5.346
41,2025-08-08 20:44:01,4.1,-84,9.8,10,1.586,3.858
42,2025-08-08 21:24:06,4.1,-75,10.2,10,1.227,3.321
43,2025-08-08 21:44:02,4.09,-75,10,10,1.166,3.378
44,2025-08-08 22:04:02,4.09,-73,10,10,1.113,3.686
45,2025-08-08 22:24:08,4.09,-90,5.8,10,0.969,3.345
46,2025-08-08 22:44:10,4.09,-79,8.5,10,1.02,3.555
47,2025-08-08 23:04:05,4.09,-82,8.8,10,0.967,3.945
48,2025-08-08 23:24:04,4.09,-74,10.2,10,0.799,3.414
49,2025-08-08 23:44:04,4.08,-77,12.2,10,0.815,3.775
50,2025-08-09 00:04:06,4.08,-79,8.5,10,0.829,3.678
51,2025-08-09 00:24:03,4.08,-77,10,10,0.625,2.69
52,2025-08-09 00:44:10,4.08,-81,9.2,10,0.676,3.01
53,2025-08-09 01:04:06,4.08,-74,9.2,10,0.52,2.231
54,2025-08-09 01:24:04,4.08,-79,5.5,10,0.373,1.844
55,2025-08-09 01:44:08,4.07,-90,10.2,10,0.427,1.502
56,2025-08-09 02:04:01,4.07,-79,6.8,10,0.344,1.032
57,2025-08-09 02:24:08,4.07,-77,9.8,10,0.303,1.178
58,2025-08-09 02:44:04,4.07,-76,11.8,10,0.182,0.863
59,2025-08-09 03:04:10,4.06,-74,9.5,10,0.05,0.337
60,2025-08-09 03:24:04,4.06,-79,4.5,10,0.175,0.942
61,2025-08-09 03:44:04,4.06,-80,11.8,10,0.126,0.166
62,2025-08-09 04:04:08,4.05,-75,11.2,10,0.058,0.543
63,2025-08-09 04:24:06,4.05,-80,10.8,10,0.069,0.518
64,2025-08-09 04:44:07,4.05,-77,9.8,10,-0.01,-0.37
65,2025-08-09 05:04:07,4.04,-75,10.2,10,-0.07,0.825
66,2025-08-09 05:24:03,4.04,-83,2.5,10,0.103,1.209
67,2025-08-09 05:44:05,4.04,-76,12.2,10,0.12,1.722
68,2025-08-09 06:04:11,4.04,-85,3.5,10,0.471,3.318
69,2025-08-09 06:24:07,4.03,-78,10.5,10,1.521,6.902
70,2025-08-09 06:44:07,4.03,-77,10.8,10,3.914,10.203
71,2025-08-09 07:04:03,4.03,-87,5,10,6.263,10.5
72,2025-08-09 07:24:08,4.03,-75,10.5,10,8.248,10.273
73,2025-08-09 07:44:08,4.04,-75,9,10,9.666,9.77
74,2025-08-09 08:04:02,4.05,-74,10.8,10,10.584,9.711
75,2025-08-09 08:24:08,4.06,-78,10.2,10,11.508,9.578
76,2025-08-09 08:44:00,4.08,-85,5.5,10,11.901,9.155
77,2025-08-09 09:24:03,4.11,-81,7.5,10,12.25,8.96
78,2025-08-09 09:44:08,4.12,-85,3.5,10,12.675,9.018
79,2025-08-09 10:04:05,4.13,-73,7,10,12.595,9.017
80,2025-08-09 10:44:08,4.15,-79,6,10,12.546,8.568
81,2025-08-09 11:04:10,,-79,9,10,,
82,2025-08-09 11:24:01,,-77,7.8,10,,
83,2025-08-09 11:44:09,4.19,-80,10.5,10,12.89,8.581
84,2025-08-09 12:04:10,4.16,-79,8.8,10,13.22,9.011
85,2025-08-09 12:24:01,4.21,-81,8.2,10,13.082,8.628
86,2025-08-09 12:44:04,4.17,-79,6.5,10,13.429,8.256
87,2025-08-09 13:04:08,4.16,-74,9.2,10,13.117,8.464
88,2025-08-09 13:24:05,4.16,-73,6.8,10,13.36,8.777
89,2025-08-09 13:44:09,4.15,-74,10.5,10,13.392,8.242
