,Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
0,2025-08-01 00:03:55,4.1,-90,5.5,10,1.176,3.066
1,2025-08-01 00:23:53,4.1,-94,-1.8,10,1.071,2.828
2,2025-08-01 00:43:54,4.1,-92,-1.2,10,1.024,2.876
3,2025-08-01 01:03:57,4.1,-92,0.8,10,1.055,2.597
4,2025-08-01 01:43:56,4.09,-92,-1.8,10,1.099,2.545
5,2025-08-01 02:04:02,4.09,-90,3,10,0.957,2.804
6,2025-08-01 02:43:59,4.09,-91,8,10,1.155,2.592
7,2025-08-01 03:23:56,4.09,-96,4,10,0.991,2.743
8,2025-08-01 03:43:53,4.09,-92,-1.2,10,1.121,2.616
9,2025-08-01 04:23:56,4.08,-94,-12.2,10,0.985,2.682
10,2025-08-01 04:43:55,4.08,-94,-5.5,10,1.007,2.94
11,2025-08-01 05:04:01,4.08,-93,-4.5,10,1.066,2.563
12,2025-08-01 05:23:53,,-91,7.2,10,,
13,2025-08-01 05:43:59,,-93,-2,10,,
14,2025-08-01 06:03:56,4.07,-93,-2,10,1.149,4.227
15,2025-08-01 06:24:00,4.07,-91,1.5,10,1.791,7.497
16,2025-08-01 06:43:53,4.07,-91,6.8,10,2.197,7.992
17,2025-08-01 07:03:59,4.07,-94,-7.8,10,2.879,8.202
18,2025-08-01 07:23:53,4.07,-92,-2,10,2.981,8.14
19,2025-08-01 07:43:53,4.07,-93,5.2,10,3.244,8.422
20,2025-08-01 08:04:02,4.09,-92,-0.8,10,3.939,7.651
21,2025-08-01 08:44:00,4.1,-87,9.2,10,4.525,8.647
22,2025-08-01 09:03:58,4.11,-94,-4.8,10,5.314,8.732
23,2025-08-01 09:24:00,4.12,-92,-1.2,10,5.628,8.647
24,2025-08-01 09:43:53,4.12,-90,7,10,6.12,8.811
25,2025-08-08 15:44:00,4.14,-92,-0.8,10,7.114,9.406
26,2025-08-08 16:03:55,4.13,-94,-6.5,10,9.336,10.125
27,2025-08-08 16:23:58,4.15,-93,-3.5,10,9.263,10.015
28,2025-08-08 16:43:54,4.15,-87,9.2,10,6.988,9.225
29,2025-08-08 17:03:54,4.14,-91,2.2,10,7.295,9.443
30,2025-08-08 17:24:00,4.19,-90,1.8,10,8.379,9.817
31,2025-08-08 17:44:01,,-92,-3.2,10,,
32,2025-08-08 18:04:02,4.19,-95,-12.8,10,6.425,9.077
33,2025-08-08 18:23:58,4.19,-93,7,10,5.266,8.751
34,2025-08-08 18:44:02,4.19,-94,-5.5,10,3.169,8.262
35,2025-08-08 19:03:59,4.17,-94,-5.2,10,3.577,8.588
36,2025-08-08 19:23:58,4.17,-94,6,10,3.29,8.497
37,2025-08-08 19:43:56,4.17,-92,-1.2,10,2.397,7.259
38,2025-08-08 20:04:00,4.16,-94,-7.8,10,1.743,5.983
39,2025-08-08 20:23:57,4.15,-92,-2,10,1.598,5.027
40,2025-08-08 20:44:02,4.15,-93,-3,10,1.43,4.569
41,2025-08-08 21:04:01,4.14,-95,3,10,1.364,4.191
42,2025-08-08 21:23:53,4.14,-91,,10,1.284,4.25
43,2025-08-08 21:44:02,4.14,-91,,10,1.365,4.133
44,2025-08-08 22:04:02,4.13,-95,5.8,10,1.178,4.089
45,2025-08-08 22:23:58,4.13,-94,-5.2,10,1.222,3.888
46,2025-08-08 22:43:54,4.12,-88,5.8,10,1.195,4.118
47,2025-08-08 23:04:01,4.12,-91,0.8,10,1.274,3.719
48,2025-08-09 00:03:58,4.11,-93,-3.2,10,1.264,3.884
49,2025-08-09 00:23:58,,-94,-5.2,10,,
50,2025-08-09 00:43:53,,-89,8.5,10,,
51,2025-08-09 01:03:56,4.11,-99,0.5,10,1.282,3.601
52,2025-08-09 01:24:02,4.1,-91,8.2,10,1.139,3.716
53,2025-08-09 01:43:56,4.1,-95,5.2,10,1.199,3.58
54,2025-08-09 02:03:53,4.1,-97,-12.5,10,1.102,3.453
55,2025-08-09 02:23:58,4.1,-92,0.2,10,1.27,3.581
56,2025-08-09 02:44:01,4.1,-99,-4.8,10,1.086,3.726
57,2025-08-09 03:03:55,4.09,-94,-10,10,1.137,3.593
58,2025-08-09 03:23:55,4.09,-92,7.8,10,1.112,3.393
59,2025-08-09 03:44:00,4.09,-94,-5.5,10,1.194,3.355
60,2025-08-09 04:03:58,4.09,-93,-2,10,1.114,3.513
61,2025-08-09 04:43:58,4.09,-94,7,10,1.205,3.603
62,2025-08-09 05:03:56,4.09,-91,7.8,10,1.117,3.435
63,2025-08-09 05:23:55,4.08,-93,-3.2,10,1.121,3.486
64,2025-08-09 05:43:56,4.08,-94,-6.5,10,1.076,3.408
65,2025-08-09 06:03:55,4.08,-91,7.2,10,1.119,3.83
66,2025-08-09 06:23:56,4.08,-96,3.8,10,1.791,7.316
67,2025-08-09 06:43:54,4.08,-94,-3.5,10,2.369,8.344
68,2025-08-09 07:04:02,4.08,-93,-2.8,10,3.255,8.662
69,2025-08-09 07:23:53,4.08,-87,8.5,10,3.769,8.015
70,2025-08-09 07:43:57,4.08,-94,3.2,10,4.131,8.5
71,2025-08-09 08:24:01,4.09,-94,-7.8,10,5.221,9.045
72,2025-08-09 08:43:58,4.1,-94,-6.8,10,5.805,8.834
73,2025-08-09 09:03:59,4.1,-92,-0.5,10,6.33,9.079
74,2025-08-09 09:23:55,4.11,-93,-3.2,10,6.811,9.082
75,2025-08-09 09:44:00,4.12,-94,-5,10,7.491,9.44
76,2025-08-09 10:03:54,4.12,-91,6,10,8.089,9.704
77,2025-08-09 10:24:02,4.13,-96,-3.5,10,8.357,9.704
78,2025-08-09 10:44:02,4.12,-92,0.8,10,8.383,8.807
79,2025-08-09 11:03:55,4.14,-93,-2.5,10,8.819,9.923
80,2025-08-09 11:24:02,4.15,-95,5,10,8.622,9.607
81,2025-08-09 11:44:03,4.16,-94,-4.2,10,8.784,9.842
82,2025-08-09 12:03:53,4.17,-94,-4.5,10,8.84,9.627
83,2025-08-09 12:24:01,4.15,-95,-8,10,8.315,9.424
84,2025-08-09 12:43:54,4.15,-93,-3,10,8.44,9.829
85,2025-08-09 13:03:58,4.15,-93,2.2,10,8.53,9.75
86,2025-08-09 13:23:59,4.15,-94,-6.2,10,8.295,9.678
87,2025-08-09 13:44:01,4.17,-93,-3.2,10,6.882,9.374
88,2025-08-09 14:03:57,4.16,-86,8.5,10,8.682,9.587
89,2025-08-09 14:24:01,4.17,-90,1.5,10,7.63,9.394
90,2025-08-09 14:44:00,4.16,-100,0.8,10,8.567,9.746
91,2025-08-09 15:03:59,4.17,-93,-1.8,10,8.65,9.52
92,2025-08-09 15:24:01,4.17,-94,-6.5,10,8.721,9.559
93,2025-08-09 15:44:01,4.16,-92,-1,10,8.428,9.477
