,Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
0,2025-08-01 00:04:19,4.12,-75,11.2,10,4.065,3.031
1,2025-08-01 00:24:23,4.12,-77,9.8,10,3.724,2.868
2,2025-08-01 00:44:24,4.11,-81,7,10,3.741,2.819
3,2025-08-01 01:04:19,4.11,-79,10,10,3.549,2.651
4,2025-08-01 01:24:16,4.11,-77,7.2,10,3.503,2.594
5,2025-08-01 01:44:18,4.1,-73,12.2,10,3.521,2.627
6,2025-08-01 02:04:22,4.1,-78,8.8,10,3.488,2.732
7,2025-08-01 02:44:18,4.09,-78,8.8,10,3.394,2.563
8,2025-08-01 03:04:16,4.09,-77,8.8,10,3.471,2.64
9,2025-08-01 03:24:19,4.09,-74,10.5,10,3.624,2.644
10,2025-08-01 03:44:23,4.08,-78,10.8,10,3.574,2.591
11,2025-08-01 04:04:23,4.08,-73,11.8,10,3.551,2.689
12,2025-08-01 04:24:20,4.08,-82,10.2,10,3.458,2.598
13,2025-08-01 04:44:24,4.07,-78,10.2,10,3.497,2.581
14,2025-08-01 05:04:16,4.07,-78,8.8,10,3.466,2.751
15,2025-08-01 05:24:25,4.06,-81,6.5,10,3.591,2.664
16,2025-08-01 05:44:18,4.06,-79,9.8,10,3.656,2.743
17,2025-08-01 06:04:21,4.05,-78,9.8,10,3.622,2.751
18,2025-08-01 06:24:19,4.05,-82,8,10,5.383,4.003
19,2025-08-01 06:44:25,4.05,-78,7.2,10,9.66,6.914
20,2025-08-01 07:04:22,4.04,-76,11.8,10,11.626,8.355
21,2025-08-01 07:24:17,4.04,-80,8.8,10,13.517,9.895
22,2025-08-01 07:44:20,4.04,-83,7.8,10,12.958,9.489
23,2025-08-01 08:04:22,4.06,-90,1.2,10,16.616,12.665
24,2025-08-01 08:24:21,4.05,-83,6.8,10,16.993,13.351
25,2025-08-01 08:44:16,4.08,-79,7.2,10,18.001,14.334
26,2025-08-01 09:04:22,4.09,-81,6.8,10,18.506,15.149
27,2025-08-01 09:24:21,4.11,-79,9.8,10,18.854,15.558
28,2025-08-01 09:44:25,4.13,-81,8.5,10,19.183,15.826
29,2025-08-08 15:44:18,4.15,-80,8.5,10,17.439,14.513
30,2025-08-08 16:04:22,4.15,-80,10,10,18.886,15.331
31,2025-08-08 16:24:18,4.15,-80,9.2,10,18.53,15.215
32,2025-08-08 16:44:26,4.15,-78,8.8,10,17.512,14.847
33,2025-08-08 17:04:24,,-77,7,10,,
34,2025-08-08 17:24:17,4.14,-88,6.2,10,18.08,14.065
35,2025-08-08 17:44:21,4.15,-77,9.5,10,17.187,13.995
36,2025-08-08 18:04:25,4.15,-84,6.8,10,16.383,13.226
37,2025-08-08 18:24:27,4.14,-78,11,10,14.855,11.568
38,2025-08-08 18:44:26,4.14,-80,8.2,10,12.1,9.169
39,2025-08-08 19:04:22,4.14,-78,9,10,10.832,8.11
40,2025-08-08 19:24:24,4.14,-85,5.8,10,9.73,7.236
41,2025-08-08 19:44:16,4.14,-80,8.5,10,8.938,6.473
42,2025-08-08 20:04:21,4.13,-89,3.8,10,8.208,6.129
43,2025-08-08 20:24:21,4.13,-79,7.5,10,7.707,5.759
44,2025-08-08 20:44:25,4.13,-79,9.2,10,7.194,5.348
45,2025-08-08 21:04:26,4.13,-73,9,10,6.805,5.023
46,2025-08-08 21:24:16,4.12,-86,7.8,10,6.521,4.836
47,2025-08-08 21:44:26,4.12,-87,7.8,10,6.373,4.616
48,2025-08-08 22:04:18,4.12,-80,7.8,10,6.165,4.582
49,2025-08-08 22:24:23,4.12,-78,9,10,5.942,4.525
50,2025-08-08 22:44:22,4.12,-82,9,10,5.862,4.303
51,2025-08-08 23:04:17,4.11,-74,11.8,10,5.694,4.217
52,2025-08-08 23:24:19,4.11,-81,6.5,10,5.74,4.248
53,2025-08-08 23:44:21,4.11,-84,6.5,10,5.494,4.157
54,2025-08-09 00:04:21,4.1,-81,8.5,10,5.473,4.112
55,2025-08-09 00:24:20,4.1,-73,7.5,10,5.24,3.931
56,2025-08-09 01:04:24,4.09,-72,11.2,10,5.045,3.787
57,2025-08-09 01:24:17,4.09,-75,11.5,10,4.969,3.798
58,2025-08-09 01:44:23,4.09,-78,10.8,10,4.949,3.836
59,2025-08-09 02:04:21,4.08,-85,6.2,10,4.898,3.687
60,2025-08-09 02:24:17,4.08,-80,9,10,4.842,3.678
61,2025-08-09 02:44:22,4.07,-79,9.2,10,4.844,3.592
62,2025-08-09 03:04:24,4.07,-76,12,10,4.723,3.63
63,2025-08-09 03:24:18,4.07,-89,6.5,10,4.838,3.585
64,2025-08-09 03:44:19,4.06,-80,8.2,10,4.79,3.527
65,2025-08-09 04:04:23,4.06,-80,10,10,4.748,3.628
66,2025-08-09 04:44:19,4.05,-84,7,10,4.632,3.538
67,2025-08-09 05:04:18,,-79,8,10,,
68,2025-08-09 05:24:23,,-85,6.2,10,,
69,2025-08-09 05:44:19,4.03,-88,3.5,10,4.473,3.416
70,2025-08-09 06:04:20,4.03,-70,-4.8,10,4.455,3.342
71,2025-08-09 06:24:23,4.02,-79,10.5,10,5.592,4.272
72,2025-08-09 06:44:23,4.03,-79,9.2,10,10.068,7.219
73,2025-08-09 07:04:23,4.02,-80,8.5,10,12.096,8.753
74,2025-08-09 07:24:26,4.02,-86,5.8,10,15.895,11.689
75,2025-08-09 07:44:21,4.03,-78,10.2,10,17.407,5.59
76,2025-08-09 08:24:22,4.06,-79,7.5,10,18.265,14.449
77,2025-08-09 08:44:21,4.06,-87,4.8,10,18.397,14.551
78,2025-08-09 09:04:17,4.08,-81,7.2,10,18.516,14.701
79,2025-08-09 09:24:17,4.09,-79,9.8,10,18.557,14.613
80,2025-08-09 09:44:19,4.11,-76,11.5,10,18.464,14.719
81,2025-08-09 10:04:22,4.12,-76,12.5,10,18.386,14.79
82,2025-08-09 10:24:18,4.13,-79,9.5,10,18.406,15.008
83,2025-08-09 10:44:22,4.14,-81,6.2,10,18.396,14.969
84,2025-08-09 11:04:19,4.14,-79,7.8,10,18.416,14.996
85,2025-08-09 11:24:17,4.15,-80,8.2,10,18.2,15.067
86,2025-08-09 11:44:16,4.16,-82,7.5,10,18.08,14.876
87,2025-08-09 12:04:18,4.17,-77,9.5,10,18.261,15.006
88,2025-08-09 12:24:21,4.15,-74,11.2,10,17.817,14.486
89,2025-08-09 12:44:22,4.15,-89,3.8,10,18.477,15.285
90,2025-08-09 13:04:17,4.15,-77,9.8,10,18.331,15.251
91,2025-08-09 13:24:17,4.15,-75,11.5,10,18.535,15.121
92,2025-08-09 13:44:23,4.14,-82,8,10,18.008,14.474
93,2025-08-09 14:04:21,4.14,-86,6.5,10,18.236,15.169
94,2025-08-09 14:24:24,4.14,-87,8.2,10,18.366,14.918
95,2025-08-09 14:44:26,4.14,-91,1,10,18.292,15.098
96,2025-08-09 15:04:24,4.15,-77,7.8,10,18.078,14.758
97,2025-08-09 15:24:24,4.19,-76,10.5,10,18.349,14.984
98,2025-08-09 15:44:20,4.17,-72,9.8,10,18.555,15.42
99,2025-08-09 16:04:20,4.17,-71,11.2,10,18.451,15.193
100,2025-08-09 16:24:19,4.17,-73,7.5,10,18.078,14.584
101,2025-08-09 16:44:26,4.17,-74,10,10,18.157,14.896
102,2025-08-09 17:04:23,4.17,-73,7.2,10,17.552,14.175
103,2025-08-09 17:24:25,,-68,13,10,,
104,2025-08-09 17:44:20,4.17,-80,7,10,16.667,13.782
105,2025-08-09 18:04:23,4.17,-82,11,10,16.172,12.836
106,2025-08-09 18:24:25,4.16,-92,-3.2,10,15.299,12.115
107,2025-08-09 18:44:20,4.16,-79,10.2,10,13.933,10.817
108,2025-08-09 19:04:19,4.16,-87,5,10,12.212,9.307
109,2025-08-09 19:24:22,4.15,-86,9,10,10.368,7.884
110,2025-08-09 19:44:23,4.15,-78,10.5,10,9.24,6.786
111,2025-08-09 20:04:25,4.15,-83,8.5,10,8.677,6.359
112,2025-08-09 20:24:25,4.15,-82,7.5,10,7.859,5.836
113,2025-08-09 20:44:24,4.14,-77,11.5,10,7.371,5.485
114,2025-08-09 21:04:24,4.14,-86,6.2,10,6.939,5.275
115,2025-08-09 21:24:26,4.14,-81,6.5,10,6.596,5.014
116,2025-08-09 21:44:17,4.14,-76,10.5,10,6.433,4.861
117,2025-08-09 22:04:26,4.13,-79,9.5,10,6.313,4.722
118,2025-08-09 22:24:17,4.13,-80,7.2,10,6.154,4.578
119,2025-08-09 22:44:17,4.13,-79,10.8,10,5.896,4.465
120,2025-08-09 23:04:20,4.13,-87,5.5,10,5.768,4.327
121,2025-08-09 23:24:19,4.13,-80,10,10,5.577,4.256
122,2025-08-09 23:44:25,4.12,-74,12,10,5.483,4.191
123,2025-08-10 00:24:16,4.12,-79,9.8,10,5.344,4.006
124,2025-08-10 00:44:18,4.12,-85,6.2,10,5.218,3.937
125,2025-08-10 01:24:19,4.11,-75,9,10,4.975,3.743
126,2025-08-10 01:44:23,4.11,-75,13,10,5.105,3.755
127,2025-08-10 02:04:26,4.11,-83,7.8,10,4.858,3.786
128,2025-08-10 02:24:18,4.1,-77,6.2,10,4.833,3.668
129,2025-08-10 02:44:25,4.1,-76,9.2,10,4.756,3.605
130,2025-08-10 03:04:18,4.1,-91,1.8,10,4.82,3.535
131,2025-08-10 03:24:26,4.1,-80,8,10,4.674,3.612
132,2025-08-10 03:44:17,4.09,-70,12.5,10,3.965,3.265
133,2025-08-10 04:04:17,4.09,-78,8.5,10,3.844,3.005
134,2025-08-10 04:24:19,4.08,-76,10.8,10,3.589,2.86
135,2025-08-10 04:44:24,4.08,-82,10,10,3.461,2.778
136,2025-08-10 05:04:17,4.08,-75,11.2,10,3.512,2.843
137,2025-08-10 05:24:23,4.07,-76,9.8,10,3.602,2.848
138,2025-08-10 05:44:22,4.07,-75,8,10,3.312,2.68
139,2025-08-10 06:04:23,4.06,-71,12.8,10,3.261,2.624
140,2025-08-10 06:24:21,4.06,-72,11.8,10,3.523,2.701
141,2025-08-10 06:44:18,4.05,-81,6,10,5.243,4.048
142,2025-08-10 07:04:19,4.05,-74,11.8,10,7.315,5.265
143,2025-08-10 07:24:23,4.05,-83,7.5,10,10.724,7.501
144,2025-08-10 07:44:15,4.06,-82,11.2,10,12.577,8.782
145,2025-08-10 08:04:25,4.08,-78,9,10,14.537,10.389
146,2025-08-10 08:24:19,4.09,-81,7,10,16.623,12.351
147,2025-08-10 08:44:22,4.1,-79,9.5,10,18.576,14.36
148,2025-08-10 09:04:19,4.12,-84,7,10,18.576,14.692
149,2025-08-10 09:44:22,4.15,-83,6.8,10,18.821,14.778
150,2025-08-10 10:04:17,4.16,-81,6.5,10,18.927,15.235
151,2025-08-10 10:24:18,4.15,-86,5.8,10,18.352,10.06
152,2025-08-10 10:44:20,4.16,-82,7.5,10,18.769,15.092
153,2025-08-10 11:04:26,4.16,-75,11.5,10,18.485,15.013
154,2025-08-10 11:24:17,4.17,-79,10.5,10,18.524,15.088
155,2025-08-10 11:44:25,4.14,-77,9.5,10,18.439,14.991
156,2025-08-10 12:04:22,4.19,-80,7,10,18.711,15.203
