,Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
0,2025-08-01 00:02:53,4.07,-95,6.2,10,3.808,14.111
1,2025-08-01 01:02:55,4.06,-90,6,10,3.346,12.649
2,2025-08-01 01:22:55,4.06,-96,6.2,10,3.16,11.862
3,2025-08-01 02:22:57,4.06,-93,6,10,3.077,11.934
4,2025-08-01 02:42:56,4.05,-92,8.5,10,3.125,12.446
5,2025-08-01 03:02:58,4.05,-95,9.8,10,3.032,11.879
6,2025-08-01 03:22:52,4.05,-91,6,10,3.048,11.981
7,2025-08-01 04:02:57,4.04,-91,3.5,10,3.183,12.423
8,2025-08-01 04:42:59,4.04,-94,6.5,10,3.297,12.629
9,2025-08-01 05:02:50,4.04,-92,7.2,10,3.24,12.701
10,2025-08-01 05:42:53,4.03,-94,6.8,10,3.322,12.707
11,2025-08-01 06:02:54,4.03,-91,8,10,3.708,13.709
12,2025-08-01 07:02:53,4.02,-94,7.2,10,8.039,19.872
13,2025-08-01 07:22:50,,-96,4.8,10,,
14,2025-08-01 07:42:58,,-93,8.8,10,,
15,2025-08-01 08:22:52,4.06,-91,6.5,10,14.946,22.94
16,2025-08-01 09:02:55,4.1,-96,2.5,10,16.101,21.761
17,2025-08-09 06:22:49,4.03,-90,5.5,10,3.941,14.613
18,2025-08-11 04:42:53,4.03,-92,5.8,10,2.745,10.434
19,2025-08-11 08:22:50,4.01,-93,10.2,10,9.863,20.698
20,2025-08-11 22:02:59,4.08,-86,9.5,10,3.284,11.214
21,2025-08-18 08:02:53,4.01,-84,5,10,6.609,18.358
22,2025-08-18 08:42:59,4.03,-86,10.8,10,11.584,20.953
23,2025-08-18 10:22:56,4.04,-85,8,10,9.09,19.837
24,2025-08-18 11:22:50,4.05,-90,2.8,10,7.924,19.09
25,2025-08-18 19:02:50,4.08,-88,4.2,10,3.075,10.848
26,2025-08-18 20:02:51,4.08,-88,6.2,10,2.298,6.742
27,2025-08-18 21:42:50,4.07,-88,7.2,10,1.687,5.311
28,2025-08-18 22:02:52,,-86,5,10,,
29,2025-08-18 22:42:55,4.07,-89,7.2,10,1.407,3.867
30,2025-08-18 23:42:52,4.06,-89,7.2,10,1.275,3.435
31,2025-08-19 00:42:55,4.06,-90,7,10,1.178,3.337
32,2025-08-19 01:22:58,4.05,-91,5.2,10,1.18,3.288
33,2025-08-19 01:42:52,4.05,-89,1.5,10,1.402,3.009
34,2025-08-19 02:22:50,4.04,-85,5.8,10,1.303,2.944
35,2025-08-19 03:02:56,4.04,-91,4.8,10,1.299,2.712
36,2025-08-19 03:22:55,4.04,-88,6.8,10,1.291,2.585
37,2025-08-19 04:02:59,4.03,-91,6.8,10,1.45,3.166
38,2025-08-19 04:22:55,4.03,-85,2.8,10,1.336,3.18
39,2025-08-19 05:22:54,4.02,-99,2.8,10,1.481,3.771
40,2025-08-19 06:42:57,4.01,-98,4.2,10,1.533,3.737
41,2025-08-19 08:22:57,4,-87,-1.8,10,1.667,5.117
42,2025-08-19 08:42:53,,-94,4.2,10,,
43,2025-08-19 09:22:53,3.99,-93,1.8,10,1.901,6.193
44,2025-08-19 10:02:58,3.99,-91,5.8,10,3.293,14.07
45,2025-08-19 11:22:53,4.01,-94,3.2,10,9.921,20.111
46,2025-08-19 13:42:58,4.02,-88,6.5,10,13.725,20.495
47,2025-08-19 14:42:59,4.01,-93,8.5,10,11.464,20.766
48,2025-08-19 15:22:56,4.02,-89,5.8,10,15.5,21.282
49,2025-08-19 16:02:54,4.01,-89,7,10,13.47,21.501
50,2025-08-19 17:42:54,4,-91,7,10,9.634,19.998
51,2025-08-19 18:42:52,3.99,-85,8.2,10,7.139,18.548
52,2025-08-19 19:22:59,3.98,-86,4.5,10,4.686,15.111
53,2025-08-19 20:42:58,3.97,-92,6.2,10,3.191,11.804
54,2025-08-19 22:22:54,3.96,-86,4.8,10,2.917,10.899
55,2025-08-19 22:42:59,,-90,6.5,10,,
56,2025-08-19 23:22:55,3.95,-89,6,10,2.733,10.499
57,2025-08-20 00:22:52,3.95,-93,2,10,2.693,10.135
58,2025-08-20 01:22:54,3.94,-90,7.8,10,2.481,9.084
59,2025-08-20 01:42:57,,-87,5.2,10,,
60,2025-08-20 02:22:56,3.93,-92,7.5,10,2.377,8.392
61,2025-08-20 03:02:56,3.93,-91,6,10,2.263,7.865
62,2025-08-20 03:42:53,3.92,-94,5.8,10,2.147,7.628
63,2025-08-20 04:02:56,3.92,-87,3,10,2.228,8.235
64,2025-08-20 05:02:55,3.92,-88,7.5,10,2.427,8.717
65,2025-08-20 05:42:51,3.91,-93,,10,2.539,8.857
66,2025-08-20 06:02:55,3.91,-93,5,10,2.544,8.989
67,2025-08-20 06:22:51,3.91,-91,4,10,2.778,10.45
68,2025-08-20 06:42:51,3.91,-85,9,10,3.342,13.394
69,2025-08-20 07:42:55,3.9,-97,0.2,10,7.064,18.894
70,2025-08-20 08:02:58,3.9,-90,8.5,10,9.065,20.402
71,2025-08-20 08:22:56,3.92,-95,-0.5,10,11.706,20.682
72,2025-08-20 09:22:51,3.91,-85,3.5,10,13.109,20.619
73,2025-08-20 10:22:50,3.91,-90,3.5,10,13.451,21.159
